Code,Name,Registration_number,Keph level,Facility type,Owner,Regulatory body,Beds,Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed
22918,Itoleka Smartext Medical Services,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,KITUI,KITUI CENTRAL,kitui central,KYANGWITHYA WEST,Operational,No,Yes,Yes,No,,Yes,Yes,No
22916,Africare Limited Embakasi Clinic,None,Level 2,Basic primary health care facility,Private Enterprise (Institution),Kenya MPDB - Private Practice,4,1,NAIROBI,EMBAKASI SOUTH,embakasi south,IMARA DAIMA,Operational,No,Yes,Yes,No,,Yes,Yes,No
22915,AVENUE HEALTHCARE GREENSPAN,None,Level 3,Basic primary health care facility,Private Enterprise (Institution),Kenya MPDB - Private Practice,5,2,NAIROBI,EMBAKASI EAST,embakasi east,UPPER SAVANNAH,Operational,No,Yes,Yes,No,,Yes,Yes,No
22911,Yalatani Dispensary,None,Level 2,Basic primary health care facility,Ministry of Health,None,0,0,KITUI,KITUI WEST,kitui west,MUTONGONI,Operational,No,No,No,No,,Yes,Yes,No
22910,Musuani Mdc,BN/2016/411438,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,KITUI,MWINGI WEST,mwingi west,KYOME/THAANA,Operational,No,No,No,No,,Yes,Yes,No
22908,Musuani Medical Centre,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,None,0,0,KITUI,MWINGI WEST,mwingi west,KYOME/THAANA,Operational,No,No,No,No,,Yes,Yes,No
22905,Muthangira Dispensary,None,Level 2,Basic primary health care facility,Ministry of Health,None,0,0,NYERI,KIENI,kieni west,MUGUNDA,Operational,No,No,No,No,,Yes,Yes,No
22904,ST.TRESA'S OLK MEDICAL CLINIC,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,None,1,0,NYANDARUA,OL KALOU,olkalou,KARAU,Operational,No,No,No,No,,Yes,Yes,No
22900,Kericho Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,KERICHO,AINAMOI,ainamoi,KIPCHEBOR,Operational,No,No,Yes,No,,Yes,Yes,No
22899,Orion Healthcare Medical Centre,007282,Level 2,Basic primary health care facility,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,BUSIA,MATAYOS,matayos,BURUMBA,Operational,No,No,Yes,No,,Yes,Yes,No
22898,COMMUNITY HEALTH SERVICE,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,MURANG'A,MATHIOYA,mathioya,GITUGI,Operational,No,Yes,Yes,No,,Yes,Yes,No
22895,Kilele Medical Specialist Centre,nil,Level 2,Dispensaries and clinic-out patient only,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,NAIROBI,MAKADARA,makadara,MARINGO/HAMZA,Operational,No,No,Yes,No,,Yes,Yes,No
22889,Sanctuary Rains Medical Centre,None,Level 3,Basic primary health care facility,Private Practice - Clinical Officer,None,2,1,NAIROBI,DAGORETTI SOUTH,dagoretti south,UTHIRU/RUTHIMITU,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22882,Highway Medical Clinic Mukuyuni,10976,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,BUNGOMA,TONGAREN,tongaren,MILIMA,Operational,No,No,Yes,No,,Yes,Yes,No
22862,ScanHealth Limited-Kericho,None,Level 2,Radiology Clinic,Private Practice - Medical Specialist,Kenya Radiation Protection Board,0,0,KERICHO,AINAMOI,ainamoi,KIPCHEBOR,Operational,No,No,No,No,,Yes,Yes,No
22860,Aimo Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,HOMA BAY,KASIPUL,kasipul,EAST KAMAGAK,Operational,No,No,No,No,,Yes,Yes,No
22857,Saika Community Medical Centre,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,None,0,0,NAIROBI,KASARANI,kasarani,NJIRU,Operational,No,No,Yes,No,,Yes,Yes,No
22855,Selina's Health Care,None,Level 3,Basic primary health care facility,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),15,0,NAIROBI,EMBAKASI NORTH,embakasi north,KARIOBANGI NORTH,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22853,Naagis Dispensary,None,Level 2,Basic primary health care facility,Public Institution,Ministry of Health,0,0,TURKANA,LOIMA,loima,TURKWEL,Operational,No,No,No,No,,Yes,Yes,No
22851,Oasis Doctors Plaza Nairobi Green House,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Medical Specialist,None,0,0,NAIROBI,KIBRA,kibera,WOODLEY/KENYATTA GOLF COURSE,Operational,No,No,No,No,,Yes,Yes,No
22850,Karen Roses Medical Clinic,004331,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,0,0,NAIROBI,LANGATA,langata,KAREN,Operational,No,No,No,No,,Yes,Yes,No
22844,South C Hospital Limited(South C),5765,Level 3,Primary care hospitals,Private Enterprise (Institution),Kenya MPDB - Private Practice,8,0,NAIROBI,LANGATA,langata,SOUTH C,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22836,Our Mother of Perpetual Help Bamba Catholic Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,None,0,0,KILIFI,GANZE,ganze,BAMBA,Operational,No,No,No,No,,Yes,Yes,No
22828,Nasianda,None,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,SABOTI,saboti,KINYORO,Operational,No,No,No,No,,Yes,Yes,No
22815,Gynocare womens &fistula hospital,None,Level 4,Secondary care hospitals,Private Practice - Medical Specialist,None,80,0,UASIN GISHU,TURBO,turbo,KAPSAOS,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22814,Quality care medical clinic,None,Level 2,Basic primary health care facility,Private Practice - Nurse / Midwifery,None,1,0,UASIN GISHU,TURBO,turbo,KAPSAOS,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22812,Katsakakairu Disp,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,2,0,LAMU,LAMU WEST,lamu west,WITU,Operational,No,No,No,No,,Yes,Yes,No
22808,Uziwa Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,1,0,LAMU,LAMU WEST,lamu west,BAHARI,Operational,No,No,No,No,,Yes,Yes,No
22806,Dago,None,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,KISUMU,KISUMU WEST,kisumu west,KISUMU NORTH,Operational,No,No,No,No,,Yes,Yes,No
22805,South C Dialysis Centre,005518,Level 2,Dispensaries and clinic-out patient only,Private Company,Kenya MPDB - Institution,4,0,NAIROBI,LANGATA,langata,SOUTH C,Operational,No,Yes,Yes,No,,Yes,Yes,No
22804,Tewe Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,1,0,LAMU,LAMU WEST,lamu west,BAHARI,Operational,No,No,No,No,,Yes,Yes,No
22803,Sinambio Disp,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,1,0,LAMU,LAMU WEST,lamu west,WITU,Operational,No,No,No,No,,Yes,Yes,No
22802,MaishaMaish  Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,1,0,LAMU,LAMU WEST,lamu west,WITU,Operational,No,No,No,No,,Yes,Yes,No
22795,Holsoms Nursing Home,None,Level 3,Basic primary health care facility,Private Practice - Clinical Officer,None,20,6,NYAMIRA,KITUTU MASABA,manga,KAMERA,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22789,Chepsoo Medical Centre,004960,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,3,0,NANDI,EMGWEN,emgwen,KAPSABET,Operational,Yes,Yes,Yes,No,,Yes,Yes,No
22788,Agahkan Ngong Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,None,0,0,KAJIADO,KAJIADO NORTH,kajiado north,NGONG,Operational,No,No,No,No,,Yes,Yes,No
22785,Gertrude's Children Hospital-Thika Rd,None,Level 2,Basic primary health care facility,Private Practice - General Practitioner,None,0,0,NAIROBI,ROYSAMBU,roysambu,ROYSAMBU,Operational,No,Yes,Yes,Yes,,Yes,Yes,No
22784,Equity Afia Kayole,None,Level 2,Dispensaries and clinic-out patient only,Company Medical Service,None,0,0,NAIROBI,EMBAKASI CENTRAL,embakasi central,KAYOLE NORTH,Operational,No,No,Yes,No,,Yes,Yes,No
22779,Lomunyenekirionok dispensary,None,Level 2,Basic primary health care facility,Ministry of Health,None,0,0,TURKANA,TURKANA WEST,turkana west,KALOBEYEI,Operational,No,No,No,No,,Yes,Yes,No
22778,Rushi Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,BUSIA,MATAYOS,matayos,BURUMBA,Operational,No,No,Yes,No,,Yes,Yes,No
22777,Blissfam medical centre,None,Level 2,Comprehensive primary health care facility,Private Practice - General Practitioner,None,5,2,KILIFI,KILIFI SOUTH,kilifi south,SHIMO LA TEWA,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22776,st Angela Medical Centre,None,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,None,3,1,KAKAMEGA,MATUNGU,matungu,MAYONI,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22775,Bethlehem Home Hospital,None,None,Basic primary health care facility,Private Practice - Clinical Officer,None,6,6,KISUMU,NYAKACH,nyakach,SOUTH EAST NYAKACH,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22773,HEARTLANDS MEDICAL CENTRE,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,None,0,0,NAROK,NAROK NORTH,narok north,NAROK TOWN,Operational,No,Yes,Yes,Yes,,Yes,Yes,No
22768,Bliss M Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,26,0,KAKAMEGA,MATUNGU,matungu,KOYONZO,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22766,Jimba Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KILIFI,KILIFI NORTH,kilifi north,WATAMU,Operational,No,No,No,No,,Yes,Yes,No
22764,Rungut Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Public Institution,None,0,0,KERICHO,BURETI,bureti,LITEIN,Operational,No,No,No,No,,Yes,Yes,No
22762,Hope care medical centre,003629,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,KAJIADO,KAJIADO NORTH,kajiado north,ONGATA RONGAI,Operational,No,No,No,No,,Yes,Yes,No
22759,MASAKA DISPENSARY,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KAKAMEGA,IKOLOMANI,ikolomani,IDAKHO CENTRAL,Operational,No,No,No,No,,Yes,Yes,No
22758,EREGI TTC CLINIC,None,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Ministry of Health,0,0,KAKAMEGA,IKOLOMANI,ikolomani,IDAKHO SOUTH,Operational,No,No,No,No,,Yes,Yes,No
22757,LUKANJI HEALTH CLINIC,21991,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Ministry of Health,4,0,KAKAMEGA,IKOLOMANI,ikolomani,IDAKHO CENTRAL,Operational,No,No,No,No,,Yes,Yes,No
22755,Bahati Hospital - Malaa,None,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,None,0,0,MACHAKOS,MATUNGULU,matungulu,MATUNGULU WEST,Operational,No,Yes,Yes,No,,Yes,Yes,No
22754,Eastern Afya Medical Centre,006362,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,MACHAKOS,MAVOKO,athi river,SYOKIMAU/MULOLONGO,Operational,No,No,Yes,No,,Yes,Yes,No
22753,Ruai Family Hospital - Tala,007728,Level 3,Comprehensive primary health care facility,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,20,4,MACHAKOS,MATUNGULU,matungulu,TALA,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22752,Lwakhakha Dispensary,None,Level 2,Basic primary health care facility,Public Institution,None,0,0,BUNGOMA,SIRISIA,sirisia,LWANDANYI,Operational,No,No,No,No,,Yes,Yes,No
22748,Get Well Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,None,0,0,KISUMU,KISUMU WEST,kisumu west,KISUMU NORTH,Operational,No,No,No,No,,Yes,Yes,No
22747,OTIENDE OUTPATIENT CLINIC,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,None,0,0,HOMA BAY,NDHIWA,ndhiwa,KANYIKELA,Operational,No,Yes,Yes,No,,Yes,Yes,No
22744,KOTIENDE OUPATIENT CLINIC,None,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,None,0,0,HOMA BAY,NDHIWA,ndhiwa,KANYAMWA KOLOGI,Operational,No,No,No,No,,Yes,Yes,No
22740,Afya Bora Clinic(Busia),None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,None,0,0,BUSIA,MATAYOS,matayos,BURUMBA,Operational,No,Yes,Yes,No,,Yes,Yes,No
22704,TOGONYE DISPENSARY,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Other,0,0,KIRINYAGA,MWEA,kirinyaga south,MURINDUKO,Operational,No,No,No,No,,Yes,Yes,No
22702,Wananchi Clinic and Optician,None,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,None,0,0,EMBU,MANYATTA,manyatta,KIRIMARI,Operational,No,No,Yes,No,,Yes,Yes,No
22695,MAMAS NURSING HOME,None,Level 2,Comprehensive primary health care facility,Non-Governmental Organizations,None,10,0,HOMA BAY,NDHIWA,ndhiwa,KANYIKELA,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22694,MAISHA CLINIC NDHIWA,None,Level 2,Basic primary health care facility,Non-Governmental Organizations,None,1,0,HOMA BAY,NDHIWA,ndhiwa,KANYAMWA KOSEWE,Operational,No,No,No,No,,Yes,Yes,No
22693,KIAGUTHU DISPENSARY,None,Level 2,Basic primary health care facility,Ministry of Health,None,0,0,NYERI,Nyeri South,nyeri south,CHINGA,Operational,No,No,No,No,,Yes,Yes,No
22692,Cieni dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,0,0,NYERI,MATHIRA,mathira west,RUGURU,Operational,No,No,No,No,,Yes,Yes,No
22691,Palis Medical Clinic,None,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,Clinical Officers Council,0,0,KIRINYAGA,MWEA,kirinyaga north/mwea west,KANGAI,Operational,No,No,Yes,No,,Yes,Yes,No
22690,Kianjogu Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,0,0,NYERI,MATHIRA,mathira west,KIRIMUKUYU,Operational,No,No,No,No,,Yes,Yes,No
22689,Gathumbi Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,0,0,NYERI,MATHIRA,mathira west,KIRIMUKUYU,Operational,No,No,No,No,,Yes,Yes,No
22688,St. Akidiva Memorial,None,Level 3,Comprehensive primary health care facility,Other Faith Based,Ministry of Health,30,2,NAROK,KILGORIS,transmara west,LOLGORIAN,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22684,Faith CFW Clinic,001968,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,EMBU,RUNYENJES,runyenjes,KAGAARI NORTH,Operational,No,Yes,No,No,,Yes,Yes,No
22683,Patience CFW Clinic,002023,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,EMBU,RUNYENJES,runyenjes,KAGAARI SOUTH,Operational,No,No,No,No,,Yes,Yes,No
22681,Tumaini CFW Clinic,001967,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,EMBU,RUNYENJES,runyenjes,KAGAARI SOUTH,Operational,No,No,No,No,,Yes,Yes,No
22680,Africare Limited Eastleigh,6348,Level 3,Basic primary health care facility,Private Practice - Unspecified,Kenya MPDB - Private Practice,4,1,NAIROBI,KAMUKUNJI,kamukunji,EASTLEIGH NORTH,Operational,No,Yes,Yes,No,,Yes,Yes,No
22679,Mtwapa drop in and resource centre,None,Level 2,VCT,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,KILIFI,KILIFI SOUTH,kilifi south,SHIMO LA TEWA,Operational,No,No,No,No,,Yes,Yes,No
22678,Masii Medical Centre,None,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,None,2,0,MACHAKOS,MWALA,mwala,MASII,Operational,No,Yes,Yes,No,,Yes,Yes,No
22677,Mwangea community Dispensary,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,0,0,KWALE,KINANGO,kinango,CHENGONI/SAMBURU,Operational,No,No,No,No,,Yes,Yes,No
22675,Unicure Medical Centre,None,Level 2,Basic primary health care facility,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,KIRINYAGA,KIRINYAGA CENTRAL,kirinyaga central,MUTIRA,Operational,No,No,No,No,,Yes,Yes,No
22674,Endoscopy and Diagnostic Center Kerugoya,None,Level 2,Basic primary health care facility,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,KIRINYAGA,KIRINYAGA CENTRAL,kirinyaga central,KERUGOYA,Operational,No,No,No,No,,Yes,Yes,No
22673,Professor Wasuna Clinic,None,Level 2,Basic primary health care facility,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,NAIROBI,WESTLANDS,westlands,PARKLANDS/HIGHRIDGE,Operational,No,No,No,No,,Yes,Yes,No
22672,Githima Disp,None,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,None,0,0,NYERI,MATHIRA,mathira east,KONYU,Operational,No,No,No,No,,Yes,Yes,No
22667,machesa dispensary,None,Level 2,Dispensaries and clinic-out patient only,Public Institution,Ministry of Health,0,0,WAJIR,WAJIR SOUTH,wajir south,BENANE,Operational,No,No,No,No,,Yes,Yes,No
22664,Kapkitony,None,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,BARINGO,BARINGO NORTH,baringo north,KABARTONJO,Operational,No,No,No,No,,Yes,Yes,No
22663,Lokorkor Dispensary,None,Level 2,Basic primary health care facility,Ministry of Health,None,2,0,TURKANA,TURKANA EAST,turkana east,KATILIA,Operational,No,No,No,No,,Yes,Yes,No
22661,Lobulono Dispensary,None,Level 2,Basic primary health care facility,Public Institution,None,2,0,TURKANA,TURKANA NORTH,kibish,KIBISH,Operational,No,No,No,No,,Yes,Yes,No
22652,Fountain Healthcare Ltd Bungoma,None,Level 3,Comprehensive primary health care facility,Private Practice - General Practitioner,None,19,1,BUNGOMA,KANDUYI,kanduyi,KHALABA,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22651,CENTRAL MEDICAL CLINIC,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,None,0,0,KISII,KITUTU CHACHE SOUTH,kitutu chache south,KITUTU CENTRAL,Operational,No,Yes,Yes,No,,Yes,Yes,No
22649,Sirende medical clinic,8788,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,TRANS NZOIA,KIMININI,kiminini,SIRENDE,Operational,No,No,No,No,,Yes,Yes,No
22648,Primecare medical centre,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,None,0,0,TRANS NZOIA,KIMININI,kiminini,SIRENDE,Operational,No,No,No,No,,Yes,Yes,No
22643,Bliss CVS Healthcare Limited Kapsabet,006188,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Institution,5,0,NANDI,EMGWEN,emgwen,KAPSABET,Operational,No,Yes,Yes,No,,Yes,Yes,No
22642,Marysyl Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,None,0,0,KAKAMEGA,KHWISERO,khwisero,KISA WEST,Operational,No,Yes,Yes,No,,Yes,Yes,No
22639,Africare Ltd Karen Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Company,Kenya MPDB - Private Practice,0,0,NAIROBI,LANGATA,langata,KAREN,Operational,No,No,No,No,,Yes,Yes,No
22628,Koykoy Dispensary,None,Level 2,Basic primary health care facility,Ministry of Health,None,0,0,TRANS NZOIA,SABOTI,saboti,SABOTI,Operational,No,No,No,No,,Yes,Yes,No
22626,Chemichem Dispensary,None,Level 2,Basic primary health care facility,Ministry of Health,None,0,0,TRANS NZOIA,SABOTI,saboti,MACHEWA,Operational,No,No,No,No,,Yes,Yes,No
22625,MAISHA HEALTH CARE CLINIC,None,Level 2,Basic primary health care facility,Non-Governmental Organizations,None,3,0,HOMA BAY,MBITA,mbita,KASGUNGA,Operational,No,No,No,No,,Yes,Yes,No
22624,Rafiki Health Centre,None,Level 2,Basic primary health care facility,Ministry of Health,None,0,0,TRANS NZOIA,SABOTI,saboti,MATISI,Operational,No,No,No,No,,Yes,Yes,No
22623,Nzoia Medical Centre Chwele,None,Level 3,Basic primary health care facility,Private Enterprise (Institution),None,18,0,BUNGOMA,KABUCHAI,kabuchai,KABUCHAI/CHWELE,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22622,Oltumusoi Dispensary,None,Level 2,Basic primary health care facility,Ministry of Health,None,0,0,NAROK,NAROK SOUTH,narok south,MAJI MOTO/NAROOSURA,Operational,No,No,No,No,,Yes,Yes,No
22621,Nzioa Medical Centre Chwele,None,Level 3,Basic primary health care facility,Private Enterprise (Institution),None,18,0,BUNGOMA,KABUCHAI,kabuchai,KABUCHAI/CHWELE,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
22619,Koinange Dispensary,None,Level 2,Basic primary health care facility,Public Institution,None,0,0,NYANDARUA,KINANGOP,kinangop,GITHABAI,Operational,No,No,No,No,,Yes,Yes,No
22614,AFYALINK MEDICAL LABARATORIES,None,Level 2,Laboratory,Laboratory Technician/Technologist,None,0,0,KIRINYAGA,MWEA,kirinyaga south,NYANGUTI,Operational,No,Yes,Yes,No,,Yes,Yes,No
22610,Gitunduti Medical Clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,None,0,0,NYERI,MATHIRA,mathira east,MAGUTU,Operational,No,Yes,Yes,No,,Yes,Yes,No
22609,ACK NGUNI CBHC ANNEX CLINIC,None,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,None,0,0,KITUI,MWINGI CENTRAL,mwingi central,NGUNI,Operational,No,No,No,No,,Yes,Yes,No
22607,Goshen Medical clinic,None,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,None,0,0,NYERI,MATHIRA,mathira east,MAGUTU,Operational,No,Yes,Yes,No,,Yes,Yes,No
22606,Interlink Optical and Care Services,None,Level 3,Basic primary health care facility,Private Practice - Clinical Officer,Clinical Officers Council,0,0,KIRINYAGA,KIRINYAGA CENTRAL,kirinyaga central,KERUGOYA,Operational,No,No,No,No,,Yes,Yes,No
22601,Bwake,None,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TRANS NZOIA,CHERANGANY,cherangany,CHERANGANY/SUWERWA,Operational,No,No,No,No,,Yes,Yes,No
